hold_year,supply_heating,price_per_area,property_year,sell_time,house_direction,latest_trade,house_used,area,elevator,building_structure,valid_area,price,payandtax,buildtime,trade_property,address,house_type,name,fitment,floor,building_type,household_num
满五年,集中供暖,24127,70年,2017-09-06,南,2004-12-31,普通住宅,52.64平米,暂无数据,砖混结构,暂无数据,127,"首付39万 ,税费,13.8,万(仅供参考) ,详情",1994年建/板楼,已购公房,"市北,错埠岭",2室1厅1厨1卫,错埠岭二路,精装,中楼层 (共7层),板楼,一梯三户
满五年,集中供暖,36012,50年,2017-10-05,南 北,2009-08-11,普通住宅,119.13平米,暂无数据,砖混结构,109.3㎡,429,"首付129万 ,税费,13.8,万(仅供参考) ,详情",1998年建/板楼,商品房,"崂山,雕塑园",2室2厅1厨1卫,金海湾,精装,中楼层 (共4层),板楼,一梯两户
满五年,集中供暖,21027,70年,2017-10-05,西南,2002-10-02,普通住宅,57.07平米,暂无数据,钢混结构,57㎡,120,"首付36万 ,税费,13.8,万(仅供参考) ,详情",1996年建/板楼,商品房,"市南,北仲",2室1厅1厨1卫,延吉路77号,简装,高楼层 (共7层),板楼,一梯四户
满五年,集中供暖,22453,70年,2017-08-26,南 北,2010-09-09,普通住宅,106平米,有,钢混结构,79.84㎡,238,"首付72万 ,税费,13.8,万(仅供参考) ,详情",2010年建/板楼,商品房,"市北,海泊河",2室2厅1厨2卫,花好月圆,简装,低楼层 (共35层),板楼,两梯三户
满五年,集中供暖,34886,70年,2017-09-19,南 北,1999-10-30,普通住宅,78.83平米,暂无数据,砖混结构,70.41㎡,275,"首付83万 ,税费,13.8,万(仅供参考) ,详情",2000年建/板楼,商品房,"市南,辛家庄",3室2厅1厨2卫,香港花园铜锣湾,精装,高楼层 (共6层),板楼,一梯四户
满五年,集中供暖,21578,50年,2017-09-19,南,2005-06-01,普通住宅,64.42平米,暂无数据,钢混结构,暂无数据,139,"首付42万 ,税费,13.8,万(仅供参考) ,详情",2001年建/板楼,商品房,"市北,台东",2室1厅1厨1卫,国隆新村,其他,高楼层 (共6层),板楼,一梯四户
满五年,集中供暖,21213,70年,2017-10-01,南 北,2009-05-05,普通住宅,59.4平米,暂无数据,钢混结构,50.19㎡,126,"首付38万 ,税费,13.8,万(仅供参考) ,详情",1993年建/板楼,商品房,"市北,四方实验小区",2室1厅1厨1卫,实验小区,精装,中楼层 (共7层),板楼,一梯两户
满五年,集中供暖,27655,70年,2017-10-01,南,2006-07-13,普通住宅,90.04平米,暂无数据,砖混结构,80㎡,249,"首付75万 ,税费,13.8,万(仅供参考) ,详情",1998年建/板楼,商品房,"市南,天山银海",2室2厅1厨1卫,双珠小区,其他,中楼层 (共6层),板楼,一梯两户
满五年,集中供暖,26023,70年,2017-09-24,东 南 北,2008-04-01,普通住宅,160.63平米,暂无数据,钢混结构,145.5㎡,418,"首付126万 ,税费,13.8,万(仅供参考) ,详情",2006年建/板楼,商品房,"市北,福州北路",4室2厅1厨2卫,恒苑小区,毛坯,高楼层 (共6层),板楼,一梯两户
满五年,集中供暖,28696,70年,2017-10-01,东 南 北,2012-02-21,普通住宅,87.82平米,有,钢混结构,暂无数据,252,"首付76万 ,税费,13.8,万(仅供参考) ,详情",2010年建/板楼,经济适用房,"市北,错埠岭",2室2厅1厨1卫,新岭花园三期,精装,高楼层 (共18层),板楼,两梯四户
