name,address,house_type,price,price_per_area,area,valid_area,property_year,house_direction,hold_year,payandtax,house_used,sell_time,latest_trade,elevator,building_structure,buildtime,trade_property,supply_heating,fitment,floor,building_type,household_num
悦海豪庭,"崂山,石老人",4室2厅1厨3卫,3200,8.7268,366.69平米,暂无数据,50年,南 北,满两年,"首付960万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2014-10-09,2014-10-09,暂无数据,钢混结构,2003年建/板楼,商品房,集中供暖,其他,低楼层 (共3层),板楼,一梯两户
大学路,"市南,大学路",1室1厅1厨1卫,220,8.1482,27平米,暂无数据,70年,南,满五年,"首付66万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-10-01,2011-10-02,暂无数据,未知结构,未知年建,已购公房,暂无数据,其他,低楼层 (共2层),,一梯四户
石湾山庄二期,"崂山,西姜",4室3厅1厨3卫,3500,7.9579,439.82平米,439.82㎡,50年,南 北,满两年,"首付1050万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-03-08,2013-11-26,暂无数据,钢混结构,2010年建/板楼,商品房,自供暖,其他,低楼层 (共3层),板楼,一梯一户
海信天玺,"崂山,麦岛",4室2厅1厨2卫,1700,7.6234,223平米,暂无数据,50年,南 北,满两年,"首付510万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2016-02-23,2014-09-23,有,钢混结构,2012年建/板楼,商品房,集中供暖,其他,中楼层 (共39层),板楼,三梯三户
海信天玺,"崂山,麦岛",4室2厅1厨2卫,2300,7.541,305平米,254.51㎡,50年,南 北,满两年,"首付690万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-03-02,2013-07-23,有,钢混结构,2012年建/板楼,商品房,集中供暖,其他,高楼层 (共17层),板楼,两梯两户
海涛园二期,"崂山,西姜",5室2厅1厨5卫,2000,7.3856,270.8平米,南 北,,精装,满五年,"首付600万 ,税费,13.8,万(仅供参考) ,详情",别墅,2016-09-14,2000-01-01,,暂无数据,2002年建,商品房,,自供暖,低楼层 (共2层),砖混结构,50年
海信天悦,"崂山,麦岛",3室2厅1厨2卫,1400,7.2117,194.13平米,155.42㎡,50年,南,满两年,"首付420万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-05-13,2014-11-04,有,钢混结构,2013年建/板楼,商品房,集中供暖,其他,中楼层 (共18层),板楼,两梯两户
海信天悦,"崂山,麦岛",3室2厅1厨2卫,1300,7.1875,180.87平米,暂无数据,50年,南 北,满两年,"首付390万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2016-11-12,2014-10-30,有,钢混结构,2013年建/板楼,商品房,集中供暖,精装,低楼层 (共10层),板楼,两梯两户
大学路,"市南,大学路",1室0厅1厨1卫,173,6.92,25平米,24.99㎡,70年,西南,满五年,"首付52万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-08-20,2000-01-22,暂无数据,砖混结构,1949年建/板楼,商品房,集中供暖,简装,低楼层 (共1层),板楼,一梯二十六户
梅海园,"崂山,雕塑园",3室1厅1厨2卫,590,6.7762,87.07平米,77.29㎡,50年,南 北,满五年,"首付177万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-07-27,2011-07-25,暂无数据,钢混结构,2002年建/板楼,商品房,集中供暖,其他,高楼层 (共5层),板楼,一梯两户
龙翔苑,"崂山,雕塑园",4室4厅1厨2卫,620,6.5958,94平米,83.95㎡,50年,南,满五年,"首付186万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-07-07,2010-05-20,暂无数据,钢混结构,2001年建/板楼,商品房,集中供暖,其他,中楼层 (共5层),板楼,一梯两户
青岛山花园,"市南,大学路",3室2厅1厨2卫,820,6.3799,128.53平米,暂无数据,70年,南,满五年,"首付246万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-06-11,2003-01-23,暂无数据,砖混结构,2003年建/板楼,商品房,集中供暖,其他,中楼层 (共8层),板楼,一梯两户
海信天玺,"崂山,麦岛",4室2厅1厨2卫,1400,6.2708,223.26平米,暂无数据,50年,南 北,满两年,"首付420万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2015-02-02,2013-12-16,有,钢混结构,2012年建/板楼,商品房,集中供暖,精装,高楼层 (共39层),板楼,三梯三户
海尔东城国际北区,"崂山,颐中体育场",8室2厅1厨3卫,1250,6.2419,200.26平米,171.41㎡,70年,南 北,满五年,"首付375万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-04-14,2010-09-28,有,钢混结构,2006年建/板楼,商品房,集中供暖,精装,高楼层 (共5层),板楼,一梯两户
栖霞路散盘,"市南,大学路",7室2厅1厨2卫,560,6.1049,91.73平米,暂无数据,70年,南 北,满五年,"首付168万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2016-12-20,2002-09-22,暂无数据,砖混结构,未知年建/板楼,商品房,集中供暖,精装,高楼层 (共5层),板楼,一梯两户
矿泉花园,"市南,八大关",4室3厅1厨2卫,920,6.0543,151.96平米,136.24㎡,70年,南 北,满五年,"首付276万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-07-20,2003-01-26,暂无数据,钢混结构,2002年建/板楼,商品房,集中供暖,其他,低楼层 (共5层),板楼,一梯四户
华山路,"市南,大学路",2室1厅1厨1卫,330,5.96,55.37平米,50.26㎡,70年,南,满五年,"首付99万 ,税费,13.8,万(仅供参考) ,详情",普通住宅,2017-10-09,2010-08-07,暂无数据,砖混结构,1984年建/板楼,已购公房,集中供暖,精装,中楼层 (共6层),板楼,一梯四户
