hold_year,supply_heating,price_per_area,property_year,sell_time,house_direction,latest_trade,house_used,area,elevator,building_structure,valid_area,price,payandtax,buildtime,trade_property,address,house_type,name,fitment,floor,building_type,household_num
"
                              ,
                              ,
                                                          ",集中供暖,15903,50年,"
                              ,
                              ,
                                                          ",南,"
                              ,
                              ,
                                                          ","
                              ,
                              ,
                                                          ",47.79平米,有,钢混结构,36.58㎡,76,首付及贷款情况请咨询经纪人,2001年建/板楼,"
                              ,
                              ,
                                                          ","黄岛,保税区",1室1厅1厨1卫,青橙时代小区,简装,高楼层 (共13层),板楼,三梯十户
"
                              ,
                              ,
                                                          ",集中供暖,22011,70年,"
                              ,
                              ,
                                                          ",南 北,"
                              ,
                              ,
                                                          ","
                              ,
                              ,
                                                          ",78.6平米,暂无数据,混合结构,暂无数据,173,首付及贷款情况请咨询经纪人,2002年建/板楼,"
                              ,
                              ,
                                                          ","李沧,东南山",2室2厅1厨1卫,振华路,简装,中楼层 (共5层),板楼,一梯两户
"
                              ,
                              ,
                                                          ",集中供暖,37648,50年,"
                              ,
                              ,
                                                          ",南 北,"
                              ,
                              ,
                                                          ","
                              ,
                              ,
                                                          ",201.34平米,有,钢混结构,173.34㎡,758,首付及贷款情况请咨询经纪人,2008年建/板楼,"
                              ,
                              ,
                                                          ","崂山,颐中体育场",4室2厅1厨2卫,鲁信长春花园,精装,中楼层 (共18层),板楼,两梯两户
"
                              ,
                              ,
                                                          ",集中供暖,37317,70年,"
                              ,
                              ,
                                                          ",南 北,"
                              ,
                              ,
                                                          ","
                              ,
                              ,
                                                          ",168.56平米,有,钢混结构,138.79㎡,629,首付及贷款情况请咨询经纪人,2011年建/板楼,"
                              ,
                              ,
                                                          ","崂山,张村",3室2厅1厨2卫,爱丁堡国际公寓,精装,中楼层 (共19层),板楼,一梯两户
"
                              ,
                              ,
                                                          ",集中供暖,15267,70年,"
                              ,
                              ,
                                                          ",南 北,"
                              ,
                              ,
                                                          ","
                              ,
                              ,
                                                          ",77.95平米,无,砖混结构,暂无数据,119,首付及贷款情况请咨询经纪人,2001年建/板楼,"
                              ,
                              ,
                                                          ","黄岛,香江路",2室2厅1厨1卫,江山路西小区,精装,高楼层 (共7层),板楼,一梯两户
"
                              ,
                              ,
                                                          ",集中供暖,29510,70年,"
                              ,
                              ,
                                                          ",南 北,"
                              ,
                              ,
                                                          ","
                              ,
                              ,
                                                          ",77.94平米,无,钢混结构,68.07㎡,230,首付及贷款情况请咨询经纪人,2005年建/板楼,"
                              ,
                              ,
                                                          ","崂山,北村",3室2厅2厨2卫,春光山色,其他,高楼层 (共7层),板楼,一梯两户
"
                              ,
                              ,
                                                          ",集中供暖,15202,50年,"
                              ,
                              ,
                                                          ",南 北,"
                              ,
                              ,
                                                          ","
                              ,
                              ,
                                                          ",78.94平米,无,混合结构,78.93㎡,120,首付及贷款情况请咨询经纪人,2004年建/板楼,"
                              ,
                              ,
                                                          ","黄岛,保税区",2室1厅1厨1卫,长城花园A组团,简装,高楼层 (共6层),板楼,一梯两户
"
                              ,
                              ,
                                                          ",集中供暖,21990,70年,"
                              ,
                              ,
                                                          ",南,"
                              ,
                              ,
                                                          ","
                              ,
                              ,
                                                          ",84.13平米,有,钢混结构,67.78㎡,185,首付及贷款情况请咨询经纪人,2012年建/板楼,"
                              ,
                              ,
                                                          ","李沧,下王埠",2室1厅1厨1卫,伟东幸福之城二期,其他,低楼层 (共18层),板楼,两梯三户
"
                              ,
                              ,
                                                          ",暂无数据,19841,70年,"
                              ,
                              ,
                                                          ",南,"
                              ,
                              ,
                                                          ","
                              ,
                              ,
                                                          ",75.1平米,暂无数据,钢混结构,55.51㎡,149,首付及贷款情况请咨询经纪人,2015年建/板楼,"
                              ,
                              ,
                                                          ","黄岛,香江路",2室1厅1厨1卫,晶城,精装,高楼层 (共31层),板楼,一梯两户
"
                              ,
                              ,
                                                          ",集中供暖,32109,50年,"
                              ,
                              ,
                                                          ",南 北,"
                              ,
                              ,
                                                          ","
                              ,
                              ,
                                                          ",157.28平米,有,钢混结构,120.18㎡,505,首付及贷款情况请咨询经纪人,2006年建/板楼,"
                              ,
                              ,
                                                          ","崂山,颐中体育场",3室2厅1厨2卫,鲁信长春花园,简装,低楼层 (共26层),板楼,两梯三户
